type,description
Bedding & blankets,"What?
Bedding and blankets generally cover duvets, blankets, bed sheets, duvet covers, pillows and throws.
Where?
Pillows and duvets due to hygiene reasons (unless new & unused) should be placed in the general waste bin.
Other textiles such as duvet covers or blankets can be recycled in textile banks.
General Comment / Tip
If you have NEW unused and unwanted items these can be donated to charity.
If you have used ones which are in good condition perhaps you could donate them to an animal shelter."
Medicinal Packaging,"What?
Blister pack, medicine bottles
Where?
Empty glass bottles can be placed in the glass bottle banks. Empty plastic bottles can be placed in the household recycling bin.
Empty blister packs and sachets should be placed in the general waste bin."
Birthday cards,"What?
Birthday cards are generally made of  heavy paper or light card.
Where?
This should be placed in the household recycling bin.
How?
Please make sure items are clean, dry and placed loosely in the bin.
General Comment / Tip
Old cards could be use for arts, crafts and shopping lists."
Junk mail,"What?
This is a paper or card
Where?
This should be placed in the household recycling bin.
How?
Please make sure items are clean, dry and placed loosely in the bin.
General Comment / Tip
If paper or card become wet or dirty on its way to the sorting facility it may not be recycled.
Sick of Junk Mail? Why not purchase a No Junk Mail sticker for your letter box?"
PC,"What?
This is an electrical item [WEEE]
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Packaging (food),"What?
This is paper, card or plastic
Where?
This ( other than plastic film) should be placed in the household recycling bin.
How?
Please make sure items are clean, dry and placed loosely in the bin.
General Comment / Tip
If paper or card become wet or dirty on its way to the sorting facility it will not be recycled. Only rigid plastics should be placed in the household recycling bin, soft plastics should be placed in the general waste bin."
Clinical waste,"What?
Clinical waste generally contains sharps and is a hazardous waste and must be disposed of carefully.
Where?
Contact your local HSE for further details.
General Comment / Tip
Hazardous household waste items are those items that can cause damage to health or the environment."
Kitchen roll,"What?
This is a paper or card
Where?
This should be placed in the household recycling bin or your food waste recycling bin.
How?
The inner tube can be placed in the household recycling bin. Once the paper has been used it should be placed in your food waste recycling bin or general waste.
General Comment / Tip
If paper or card become wet or dirty on its way to the sorting facility it may not be recycled."
Christmas cards,"What?
Christmas cards are generally made of heavy paper or light card.
 
How?
Most cards and their envelopes can be placed in the household recycle bin but any embellishments such as ribbons should be removed first.
Also, if the envelope contains a film window, this too should be removed prior to placing in the recycling bin.
 
General Comment / Tip
Old cards could be use for arts and crafts."
Dryer,"What?
This is an electrical item [WEEE].
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Wool,"What?
Wool is technically a textile.
Where?
This should be placed in the general waste bin as it is not accepted in textile banks.
General Comment / Tip
Wool can be donated to schools, community groups, craftspeople and charity shops for reuse."
Watches,"What?
Unwanted watches can be donated to your local charity shop: http://www.icsa.ie
General Comment / Tip
Watches and jewellery are accepted by many charities. They can be recycled or re-sold to raise valuable funds.
Broken watches can be repaired. Looking for a local repair service? Access Ireland’s online repair guide here: http://www.repairmystuff.ie"
Mobile phones,"What?
This is an electrical item [WEEE]
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Crockery,"What?
Old crockery including broken cups, saucers and plates should be placed in your general waste bin.
Where?
Crockery should not be placed in your local bring banks.
General Comment / Tip
Good quality crockery, or vintage and retro items should be donated for reuse."
Beds,"What?
Bed frames or bases are generally made of timber or metal.
Where?
Check the waste services locator on this site for local recycling options."
Rugs,"What?
This is a textile or clothing
Where?
This should be placed in a clothing bank.
General Comment / Tip
If you have NEW unused and unwanted items these can be donated to charity. If you have used ones which are in good condition perhaps you could donate them to an animal shelter."
DVD’s & CD’s,"What?
DVD's & CD's are generally made of  poly-carbonate plastic covered by an aluminium coating.
Where?
DVD's & CD's should be placed in the general waste bin.
The cases for both can be placed in the household recycling bin, remove paper sleeves and any soft plastic lining where possible.
General Comment / Tip
Instead of disposing of suitable DVD's and CD's once you are finished with them, why not give to friends or family or donate them to a charity shop for someone else to use?
This is particularly relevant for music, films or box sets."
Foil,"What?
This is a metal  similar to tins & cans but lighter.
Where?
Clean foil should be placed in the household recycling bin.
If foils are soiled they cannot be recycled and should be disposed of the general waste bin.
How?
All food residue must be removed, then placed in the bin clean, dry and loosely.
Scrunch kitchen foil and tubs together to form a ball – the bigger the ball, the easier it is to recycle."
Video recorders,"What?
This is an electrical item [WEEE]
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Kitchen appliances,"What?
This is an electrical item [WEEE]
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Asbestos,"What?
Asbestos is a hazardous waste and must be disposed of safely.
How?
Asbestos should be removed & disposed of by a specialist hazardous waste contractor.
You can search for specialised contractors on the National Waste Collection Permit site: www.nwcpo.ie.
General Comment / Tip
Asbestos is extremely hazardous.
If you find asbestos in your home, call an expert!"
Smoke alarms,"What?
This is an electrical item [WEEE]
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Curtains,"What?
Anything made of material or fabrics is a textile and should not be placed in your general or recycling bin.
Where?
Clothing and textiles should be placed in a clothing bank.
Why?
We need to keep clothes and textiles out of landfill because it helps to reduces greenhouse gases.
A lot of clothing is made of organic material, meaning that it is derived from natural sources and is biodegradable. But landfills lack the oxygen needed for organic materials to break down so, when clothing does end up in a landfill, it decomposes through anaerobic digestion.
General Comment / Tip
If you have NEW, unwanted or barely used items these can be donated to charity."
Greetings cards,"What?
Greeting cards are generally made of heavy paper or light card.
Where?
Greeting cards should be reused where possible – use for shopping lists or for art & craft.
Greeting cards when no loner useful should be placed in the household recycling bin.
How?
Please make sure cards are clean, dry and placed loosely in the bin.
General Comment / Tip
If possible pull any ribbons off cards before placing in the recycling bin."
Inkjet cartridges,"What?
An inkjet cartridge is a component of an inkjet printer that contains the ink that is deposited onto paper during printing.
 
Where?
Inkjet cartridges can normally be returned to the supplier for reuse or donated to charities that collect them as a revenue stream.
How?
When purchasing new cartridges ask your supplier about returning the empty cartridge for reuse.
Alternatively check to see if your favourite charity collects these for reuse. Irish charities such as https://www.ispca.ie/ provide this service."
Stereos,"What?
This is an electrical item [WEEE]
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Cat litter and Small Pet Waste,"What?
Cat litter and small pet waste includes the animal waste and soiled litter.
Where?
This should be placed in the general waste bin."
Hair – Pet / Human,"What?
Hair clippings
Where?
Small amounts can be placed in the food waste recycling bin or home composting.
Why?
Hair is a good source of nitrogen which is good for compost. Make sure to spread out the hair so it will breakdown quicker.
General Comment / Tip
If you have a lot of hair perhaps you could find a charity to donate it to or hair could be used as a filler for plush toys."
Christmas decorations packaging,"What?
Christmas decoration packaging is generally made of paper, card or soft plastics.
Where?
Paper and card packaging can be placed in the recycling bin and soft plastics (as they are currently not accepted for recycling at kerbside) should be placed in the general waste bin.
How?
Please make sure items are clean, dry and placed loosely in the bin.
General Comment / Tip
If paper or card become wet or dirty on its way to the sorting facility it may not be recycled."
TVs,"What?
This is an electrical item [WEEE]
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Shoes & boots,"What?
This is a textile or clothing.
Where?
Very worn or damaged shoes should be placed in the general waste bin. Some Civic Amenity Sites accept reusable footwear as part of the textile collection. Check the waste services locator on this site.
General Tip
Barely used and undamaged footwear can be donated to charity shops for resale. Get more information here about Irish Charity Shops: https://www.icsa.ie/"
Sideboards,"What?
This is furniture / a bulky item.
Where?
Furniture at the end of its useful life can often be recycled, especially items made from wood and metal. Most furniture can be recycled at your local civic amenity site and some local authorities may also provide a bulky goods collection service for a fee.
General Comment / Tip
If you have a piece of furniture that is still usable, you could consider selling it, passing it on to someone else or donating it – some charity shops and furniture upcycling projects accept furniture for resale and upcycling."
Plastic bottles,"What?
This is a rigid plastic
Where?
This should be placed in the household recycling bin.
How?
Please make sure items are clean, dry and placed loosely in the bin. Why not invest in a reusable bottle to reduce your dependence on single use items?
General Comment / Tip
Bottles can be squashed and the lid put back on, this helps to create extra room in your bin."
DIY waste,"What?
DIY Waste is very similar in nature to construction and demolition (C&D) waste  and generally consists of rubble, bricks, soil and stone, tiles and even old sanitary ware.
Where?
Contact your local waste service provider or check the waste services locator on this site for disposal options."
Paper,"What?
This is a paper or card
Where?
This should be placed in the household recycling bin.
How?
Please make sure items are clean, dry and placed loosely in the bin.
General Comment / Tip
If paper or card become wet or dirty on its way to the sorting facility it may not be recycled."
Coffee Machine,"What?
This is an electrical item [WEEE].
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Yoghurt pots,"What?
Yoghurt pots come in many different varieties including rigid plastic and card composites.
Where?
If the yoghurt pot is rigid plastic it should be placed in the household recycling bin. Remember the plastic film lid is not recyclable.
Similarly cardboard cartons are composites like coffee cups and cannot currently be recycled. This type of yoghurt pot should be places in the general waste bin.
How?
Please make sure items like yoghurt pots are clean, dry and placed loosely in the recycling bin."
Tools  (manual),"What?
Tools are generally composites made up of materials like metal, wood and plastic.
Where?
It can be difficult to recycle these items if the different components aren’t separated. Wooden handles, or metal parts can be recycled at your local  civic amenity site – check the waste services locator on this site.
General Comment / Tip
Many tools can easily be repaired by replacing handles or sharpening them. Check out your local Men’s Shed or repair shop to see if they provide this service. Need help locating a local repair service? Click on this link to access Ireland’s online repair directory: http://www.repairmystuff.ie
Unwanted tools could also be donated to community organisations such as Tidy Towns Groups."
Saucepans,"What?
These are composites and are generally made of metal with either a wooden or plastic handle.
This should be placed in the general waste bin.
General Comment / Tip
Your old metal pots and pans should NOT be put in your recycling bin. However, if they are in good condition, you may be able to donate them to charity.
If you can dismantle the handle from the pan or pot the metal part can be recycled at your local civic amenity site. Place the handle in the general waste bin."
Projectors,"What?
This is an electrical item [WEEE]
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Shampoo bottles,"What?
Hair shampoo and conditioner bottles are rigid plastic.
Where?
This should be placed in the household recycling bin.
How?
Make sure bottles are empty before placing them in the recycling bin. Turn them upside down to use up all the product before disposing of them.
Prevention Tip
If you are want to reduce the amount of plastic you generate look out for solid versions of soap and conditioner. Eco Stores, health food shops and certain pharmacies sell these products. They can also be purchased online."
Pet food,"What?
This is food waste
Where?
This should be placed in the food waste recycling bin.
How?
Remove all packaging before placing the pet food in the food waste recycling bin.
General Comment / Tip
Unopened or unwanted pet food can be donated to a local animal shelter."
Barbecues,"What?
Barbecues are a household bulky item and are generally made of metal.
Where?
Some Civic Amenity Sites will accept metal items.
Check the map for your local civic amenity site on the Waste Services Locator on this site.
General Comment / Tip
Disposable BBQs should be placed in the general waste bins.
Ensure ash is fully cold."
Inhalers,"What?
Inhalers containing medicine are considered to be hazardous and require specialised disposal.
 
Where?
Check with your local pharmacy for advice and whether they provide a take back scheme.
Many Civic Amenity Sites accept old medicines for disposal.  Check the Waste Services Locator for local details.
 
General Comment / Tip
Never pierce canisters."
Gardening tools (Electrical),"What?
This is an electrical item [WEEE].
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
CD & DVD players,"What?
This is an electrical item [WEEE].
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Toothpaste tubes,"What?
Toothpaste tubes are a composite material.
Where
This should be placed in the general waste bin.
Why?
It it too difficult to remove all of the contents.
General Comment / Tip
Looking to reduce the amount of plastic you create? Then why not investigate toothpaste tablets which are packaging free. These can be purchased in health stores or online."
Corks [natural],"What?
Natural corks are generally found in wine bottles.
Where?
Corks are not collected as part of your kerbside recycling scheme.
However, they can be put in your food waste recycling bin."
Hair straighteners,"What?
This is an electrical item [WEEE].
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Gift & toy packaging,"What?
Gift and toy packaging generally consist of paper, cardboard and plastic.
Where?
Paper, cardboard and rigid plastic should be placed in the household recycling bin.
Plastic film is not currently accepted for recycling at kerbside so should be placed in the general waste bin.
How?
Please remove plastic film from cardboard. The cardboard can be placed clean, dry and loose in the bin. The plastic film is not currently recyclable and must be disposed of in the general waste.
General Comment / Tip
Flatten cardboard to make more space in your bin."
Light bulbs,"What?
This is an electrical item [WEEE]
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Cupboards,"What?
Cupboards are generally made of timber and are considered a bulky item for disposal.
Where?
Timber furniture at the end of its useful life can often be recycled, or indeed upcycled.
Some Civic Amenity Sites accept this material, check the Waste Services Locator on this site for local details.
General Comment / Tip
If you have a piece of furniture that is still usable, you could consider selling it, passing it on to someone else or donating it – some charity shops accept furniture for resale. Upcycling projects accept furniture for resale or repurposing."
Cloth nappies,"What?
Cloth nappies are generally a textile or clothing.
Where?
When appropriately clean, cloth nappies can be placed in a textile bank.
General Comment / Tip
Cloth nappies are durable and long lasting – after all, they are designed to be washed and worn again and again. But when your child no longer needs them, instead of throwing them away, consider passing them on so they can benefit other families.

Ask family, friends, work colleagues or neighbours if they know of anyone who would like them."
Food waste,"What?
Plate scrapings, food which has spoiled [remove it from any packaging]
Where?
This should be placed in the food waste recycling bin if you are entitled to a collection service. Why not try home posting, check out our food section for more info"
Washing Machine,"What?
This is an electrical item [WEEE]
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Drink cartons,"What?
Drink cartons are generally made of paperboard and small amounts of polyethylene with an aluminum foil lining, and are commonly know as Tetra Pak.
Where?
This should be placed in the household recycling bin.
Some Civic Amenity Sites also accept drink cartons.  Check the Waste Services Locator on this site for further details.
Why?
Drink cartons are currently accepted for recycling.
Recycling drink cartons reduces the extraction of limited raw materials, saves considerable amounts of energy and reduces carbon dioxide emissions.
How?
Make sure all drink cartons placed in the household recycling bin are clean and dry and placed loosely in the bin."
Clothes hangers,"What?
Clothes hangers are generally made of rigid plastic or lightweight metal.
 
Where?
These can be placed in your household recycling bin.
 
General Comment / Tip
If you have excess hangers and don’t need them, they can often be donated to charity shops or given to retailers who will use them again."
Water bottles,"What?
Water bottles are rigid plastic.
Where?
These should be placed in the household recycling bin.
How?
Please make sure items are clean, dry and placed loosely in the bin."
Black Trays,"What?
Rigid trays which any type of meat can be purchased in, they come in many colours and will normally have a soft film covering
Where?
The rigid plastic tray can be placed in the household recycling bin and the softer plastic cover should go into the general waste bin.
How?
All rigid trays regardless of the colour, number, symbol or lack thereof can be placed in the household recycling bin. Trays should be clean, if there is a soak pad this must be removed [place it in the black or food waste bin], you then need to clean out the tray by carefully washing it ensuring you do not splash any liquid on the counter tops or sink or if you are a bit unsure about washing it in the sink you can simply wipe out any excess liquid with paper towels and then dispose of these in the food waste recycling bin [this will ensure no bacteria gets spread on counters or sink]"
Meat Trays,"What?
Rigid trays which any type of meat can be purchased in, they come in many colours and will normally have a soft film covering
Where?
The rigid plastic tray can be placed in the household recycling bin and the softer plastic cover should go into the general waste bin.
How?
All rigid trays regardless of the colour, number, symbol or lack thereof can be placed in the household recycling bin. Trays should be clean, if there is a soak pad this must be removed [place it in the black or food waste bin], you then need to clean out the tray by carefully washing it ensuring you do not splash any liquid on the counter tops or sink or if you are a bit unsure about washing it in the sink you can simply wipe out any excess liquid with paper towels and then dispose of these in the food waste recycling bin [this will ensure no bacteria gets spread on counters or sink]"
Keyboards (musical),"What?
This is an electrical item [WEEE]
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Toaster,"What?
This is an electrical item [WEEE]
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Paint,"What?
This may be hazardous, check the label
Where?
This should be brought to a designated drop off area or civic amenity site, check the map for details.
How?
Your waste collector is unable to accept liquid paint, as liquid wastes are banned from landfill sites, so if you can’t use it up or find it a good home by giving it away you will need to harden it before disposal. You can buy a paint hardener, or add sawdust, sand or soil to the tin and leave the lid off until the paint becomes solid and dry (please pierce the dried paint before taking it to a household civic amenity site to make sure it’s fully hardened)

Solvent based paint, paint thinner and white spirit should be disposed of as hazardous waste.
General Comment / Tip
Keep your paint in tip top condition…

When opening lids, do so carefully to avoid damaging the can sealing ring

Protect the paint from frost and extreme temperatures as these can damage the paint

To stop your paint from drying out – ensure the lid is on securely and tightly; tip the container upside down for a few seconds (this will help stop a skin forming on the paint); store the paint containers in an upright position

Pass it on…

If you have unwanted paint, which is still usable there are several ways you can dispose of it.
Ask family and friends – it might be perfect for a painting project they have in mind

There are two paint reuse schemes operating in Ireland – the Rediscovery centre in Ballymun Dublin and Mungret in Limerick. More details at www.rediscoverycentre.ie or www.limerickrecyclingcentres.ie"
Toner cartridges,"What?
Toner cartridges are a composite generally made from rigid plastic and ink.
Where?
Almost all retailers that supply toner cartridges provide a take back scheme for the empties.
If not why not collect empty cartridges and donate them to a charity that collects them as part of their fundraising efforts? Examples include the ISPCA:  and Crumlin Children’s Hospital ttps://it.ie/support-the-chatterbox-recycling-appeal-on-behalf-of-our-ladys-childrens-hospital-in-crumlin/"
Gas bottles,"General Comment / Tip
Gas bottles can be refilled for further use and should be returned to the supplier.
Please do not place gas cylinders in household bins or skips as they may explode if they are crushed."
Garden waste,"What?
Garden waste consists of leaves and flowers, grass and weeds, tree bark and pruned branches, clippings and twigs, home-grown fruit or vegetables.
Where?
This material can be composted at home with relatively little effort, click here for further details. Some Civic Amenity Sites accept garden waste be sure to check the Waste Services Locator on this site.
Some waste collectors offer a garden waste service, contact your waste collector for further details."
Animal bedding & waste,"What?
Household animal bedding generally consists of old dog and cat beds.
Where?
These items when no longer fit for purpose should be placed in the general waste bin.
General Comment / Tip
If bedding is in good condition an animal shelter may accept it as a donation."
Pet waste,"What?
Dog / Cat poo
Where?
This should be placed in the general waste bin.
How?
All animal waste should be bagged up and placed in the general waste bin."
Rubble,"What?
This is building material.
Where?
Check the waste services locator for your local civic amenity site with the list of items they accept."
Stools,"What?
This is furniture / a bulky item
Where?
Furniture at the end of its useful life can often be recycled, especially items made from wood and metal. Most furniture can be recycled at your local civic amenity site and some local authorities may also provide a bulky goods collection service for a fee.
General Comment / Tip
If you have a piece of furniture that is still usable, you could consider selling it, passing it on to someone else or donating it – some charity shops and Upcycling Projects accept furniture for resale."
Cans,"What?
Tins and cans are made from either steel or aluminium.
Where?
This should be placed in the household recycling bin.
Why?
Aluminium and steel can be recycled over and over without losing any of its properties.
How?
Please make sure items are clean, dry and placed loosely in the bin. No need t remove the paper label.
General Comment / Tip
Look out for charities such as Every Can Counts at events and festivals: http://www.everycancounts.ie"
Car batteries,"Where?
Car batteries, by law, must not be disposed of with household waste.
A garage replacing your battery is obliged to ensure that the old battery is recycled safely.
Individuals who choose to replace their own battery can bring old batteries to most civic amenity sites.
Check the waste services locator on this site."
Pyrex,"Where?
This should be placed in the general waste bin.
General Comment / Tip
While pyrex ovenware is a type of glass – it has been specially treated in the manufacturing process to withstand high temperatures, which makes it non-recyclable."
Bricks,"What?
Bricks are classified as construction and demolition (C&D) waste.
Where?
Skip hire companies generally provide a recycling service for bricks. Some civic amenity sites also accept this material. Check the waste services locator on this site.
General Comment / Tip
Before disposing of bricks always consider reuse –  do you have a DIY project that you might be able to use them for?"
Plastic bags,"What?
This is a soft plastic
Where?
This should be placed in the general waste bin."
Toothbrush [Electric],"What?
This is an electrical item [WEEE]
Where?
This should be brought to a WEEE dropoff recycling point or Civic Amenity Site, check the waste services locator on this site.
Why?
When you recycle anything with a plug or a battery you are helping to reduce the amount of waste going to landfill. Electrical items generally contain hazardous components and therefore need to be disposed of correctly. By recycling you are also helping to conserve natural resources such as plastics, glass and metals as they are recovered for use again in industry.
General Comment / Tip
It’s easy to check if an electrical item, toy or game is recyclable if it reached the end of its working life. Simply ask the following questions and if the answer is yes, to any of these, it is recyclable: Does it have a plug? Does it use batteries? Does it need charging? Does it have a picture of a crossed out wheelie bin on it?"
Sticky tape,"What?
This is a soft plastic
Where?
This should be placed in the general waste bin."
